H,Num_obs,rms,U,Arc_years,Principal_desig,Epoch,M,Peri,Node,i,e,n,a,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Arc_length,Number,class,m
9.0,218.0,0.78,2.0,2010-2023,2012 CE17,2460200.5,22.61065,355.88806,174.51878,5.91723,0.1136705,0.00996479,21.3873663,2457931.42517,98.9090343,18.9562537,23.8184789,,(471513),centaur,22.097155229147916
10.7,158.0,0.75,1.0,2012-2023,2014 WX535,2460200.5,15.79305,346.13197,167.72409,22.94153,0.4961601,0.00818459,24.3858709,2458270.87082,120.4224352,12.2865748,36.485167,,(558094),centaur,22.23176428470915
10.03,98.0,0.32,2.0,2011-2020,2014 FW,2460200.5,14.8809,114.91687,98.22944,12.69553,0.6286514999999999,0.00632872,28.9462466,2457849.16402,155.7357743,10.7491453,47.1433479,,(492338),centaur,21.009912813653955
9.43,211.0,0.47,1.0,2010-2023,2014 TV85,2460200.5,10.00415,269.7416,256.90353,12.22933,0.3217065,0.0098236,21.591809,2459182.12079,100.3306313,14.6455837,28.5380343,,(523740),centaur,21.712953290260668
11.17,83.0,0.22,3.0,2013-2017,2014 OX393,2460200.5,21.8711,330.9473,45.87105,14.68468,0.5359109,0.00750872,25.8280772,2457287.73214,131.2617269,11.9865291,39.6696253,,(523729),centaur,22.012479825676802
11.79,76.0,0.37,3.0,2011-2019,2013 CV82,2460200.5,34.67247,40.74232,137.15892,18.53759,0.3731840999999999,0.0140948999999999,16.973112,2457740.56981,69.9265683,10.6390165,23.3072075,,(531942),centaur,22.809623606821027
9.66,128.0,0.54,2.0,2007-2017,2010 EO65,2460200.5,23.48256,271.14143,315.62083,11.36281,0.4404369999999999,0.00786007,25.0525321,2457212.89695,125.3941976,14.01847,36.0865942,,(471136),centaur,21.59902877972133
9.13,121.0,0.51,2.0,2010-2018,2014 DB143,2460200.5,82.41127,336.35176,207.96657,21.35373,0.0890258999999999,0.01091452,20.1279555,2452649.87743,90.3024421,18.3360461,21.9198649,,(523686),centaur,22.208442355265262
7.77,152.0,0.6000000000000001,2.0,2010-2023,2010 PC88,2460200.5,121.35859,146.01461,131.57222,18.01794,0.0481291,0.00743934,25.9884044,2443887.32672,132.485828,24.7376059,27.2392029,,(547375),centaur,22.199666287296253
11.07,78.0,0.29,3.0,2013-2021,2014 WX508,2460200.5,16.29164,264.55936,257.54079,11.58096,0.2865814,0.01242722,18.4595095,2458889.53373,79.3104174,13.1693574,23.7496616,,(523754),centaur,23.031970378991396
8.88,150.0,0.8,1.0,1998-2020,2012 CG,2460200.5,51.76625,293.03001,128.7794,14.60139,0.5004822999999999,0.00637573,28.8037629,2452081.19545,154.5873104,14.3879894,43.2195364,,(471512),centaur,21.985422319145805
9.93,101.0,0.79,2.0,2012-2023,2015 BF515,2460200.5,56.55478,104.17082,322.28432,28.34302,0.1681166,0.01074431,20.3399693,2454936.79925,91.7329668,16.9204828,23.7594558,,(535985),centaur,22.442270571428747
8.51,199.0,0.72,3.0,2011-2023,2015 BE518,2460200.5,351.16138,202.12488,8.58306,16.57409,0.4302902999999999,0.00616901,29.4437064,2461633.24761,159.7676023,16.7743651,42.1130477,,(559176),centaur,22.118381396090204
9.35,332.0,0.5700000000000001,1.0,2009-2023,2013 PH44,2460200.5,33.72125,179.55693,160.83043,33.47614,0.2131813,0.01119548,19.7897758,2457188.43701,88.0362046,15.5709657,24.0085859,,(471931),centaur,21.67748056659554
7.22,438.0,0.63,3.0,2004-2023,2005 RO43,2460200.5,341.97621,326.42309,198.06443,35.456,0.5199948,0.00633734,28.919987,2463044.58029,155.5239006,13.8817441,43.9582299,,(447178),centaur,21.210821596824307
9.75,65.0,0.35,3.0,2015-2022,2015 BF568,2460200.5,313.91947,343.34718,271.27943,22.36055,0.3249991,0.01259837,18.2919447,2463858.17842,78.2329703,12.3470791,24.2368103,,(559239),centaur,22.98342101884205
6.63,408.0,0.5,2.0,2009-2023,2013 TC146,2460200.5,116.08549,55.09037,147.51526,14.18004,0.1604104999999999,0.00773219,25.3280075,2445187.05087,127.4681079,21.2651292,29.3908858,,(501214),centaur,21.00387388510102
8.53,245.0,0.65,2.0,2003-2023,2015 DB216,2460200.5,339.36567,238.75004,6.25271,37.81018,0.3218073999999999,0.01186345,19.0397848,2461939.82684,83.0793429,12.9126412,25.1669284,,(472651),centaur,21.20410156712608
12.03,111.0,0.76,2.0,2010-2018,2015 BG518,2460200.5,36.90526,10.92051,213.74715,1.81904,0.3018052,0.01770763,14.5779273,2458116.35195,55.66006,10.178233,18.9776216,,(523783),centaur,22.955757159723014
8.94,118.0,0.66,2.0,2011-2021,2014 GP53,2460200.5,33.19619,88.80261,109.34072,14.26773,0.1979264999999999,0.00720731,26.5432316,2455594.58794,136.7510579,21.2896227,31.7968405,,(578832),centaur,22.51536927504936
8.91,314.0,0.71,1.0,2001-2022,2002 GO9,2460200.5,89.55488,93.33345,117.42803,12.77132,0.2735314,0.01149033,19.4497693,2452406.5451,85.7771637,14.1296467,24.7698919,,(83982),centaur,21.2440194565486
10.92,93.0,0.19,2.0,2011-2023,2014 JB80,2460200.5,24.15244,154.22791,131.59407,13.36559,0.3408908,0.01165463,19.2665357,2458128.14745,84.5678807,12.6987509,25.8343205,,(523708),centaur,22.645297751343115
8.02,382.0,0.49,3.0,2010-2023,2013 MZ11,2460200.5,333.26498,19.19018,19.93877,6.35922,0.3119178999999999,0.00815124,24.4523285,2463480.38762,120.9150424,16.8252095,32.0794475,,(523673),centaur,21.772651005155453
7.41,287.0,0.6000000000000001,2.0,2000-2023,2010 FB49,2460200.5,229.77595,171.90203,184.93377,24.44279,0.1978873,0.0092701,22.4429349,2474248.25029,106.3211033,18.0017631,26.8841067,,(471149),centaur,21.882843536073242
7.88,151.0,0.75,2.0,2011-2022,2014 JG80,2460200.5,206.61212,324.54335,94.64516,32.79188,0.290946,0.01007773,21.2272798,2475421.02452,97.8005994,15.0512877,27.4032719,,(533559),centaur,22.485006162352825
7.97,393.0,0.58,2.0,2003-2023,2005 RL43,2460200.5,88.5331,177.17117,162.43914,12.25751,0.0437363,0.00805943,24.6376726,2449215.42667,122.2924145,23.560112,25.7152332,,(160427),centaur,22.031334880244373
10.92,172.0,0.75,2.0,2010-2020,2015 FZ117,2460200.5,38.31669,357.20671,154.91225,6.8179,0.4245173,0.00908126,22.7530028,2455981.15784,108.5320685,13.0939595,32.4120461,,(472760),centaur,22.446072736862693
9.49,295.0,0.56,1.0,2005-2023,2012 DD86,2460200.5,31.13724,356.46156,174.71149,12.52464,0.3348776,0.00889823,23.0639494,2456701.22599,110.7644805,15.3403494,30.7875494,,(550310),centaur,21.70130743856702
11.5,128.0,0.53,1.0,2011-2023,2011 ON45,2460200.5,39.18631,77.8132,330.28783,8.19304,0.1610488,0.02462754,11.7000756,2458609.33931,40.0205453,9.8157925,13.5843587,,(471339),centaur,22.33660037349346
7.83,370.0,0.45,2.0,2010-2023,2010 PL66,2460200.5,314.17483,95.65083,8.50526,24.26381,0.3833093999999999,0.01001142,21.3209078,2464777.79888,98.4483719,13.1484034,29.4934122,,(499522),centaur,21.659478700392924
9.4,31.0,0.19,2.0,2002-2015,2012 GM12,2460200.5,90.56455,221.63912,267.42335,12.29681,0.1675915999999999,0.01075819,20.3224779,2451782.23376,91.6146633,16.9166013,23.7283545,,,centaur,22.409759266626438
8.8,217.0,0.61,1.0,2001-2022,2014 YX49,2460200.5,103.65667,280.48326,91.34725,25.5241,0.2799357,0.0117948999999999,19.1134885,2451412.23812,83.5622142,13.7629407,24.4640363,,,-1,21.63880349901135
9.67,107.0,0.46,2.0,2012-2023,2012 LB27,2460200.5,13.54659,91.45244,209.10591,25.75704,0.2322933999999999,0.01071807,20.3731569,2458936.58976,91.9575718,15.640607,25.1057068,,,centaur,21.968175081081817
8.83,177.0,0.64,3.0,2010-2023,2013 NT33,2460200.5,351.98321,10.37143,57.35924,20.39738,0.4530665,0.00599907,29.9971623,2461536.85439,164.2934537,16.406453,43.5878716,,,centaur,22.339720957236665
8.1,79.0,0.13,0.0,2004-2017,2015 BH518,2460200.5,27.49722,259.50713,256.11875,10.95007,0.0857711,0.00676478,27.6885665,2456135.69003,145.697033,25.3136877,30.0634453,,,-1,22.381408175529742
11.1,63.0,0.2,0.0,2011-2017,2016 GZ251,2460200.5,69.04122,84.92012,37.38171,29.40299,0.4297957,0.01312731,17.7972231,2454941.13821,75.0807093,10.1480531,25.4463931,,,-1,22.13327150750004
9.3,180.0,0.18,0.0,2001-2019,2010 TH,2460200.5,86.70604,210.87619,123.6517,26.70239,0.3234714999999999,0.0122657,18.6212109,2453131.51576,80.35481,12.5977799,24.6446419,,,centaur,21.412443924724855
11.8,128.0,0.12,0.0,2011-2018,2015 VV1,2460200.5,31.4086,246.13136,130.05105,17.11085,0.6531908,0.0085928999999999,23.6071172,2456545.31956,114.7002684,8.1871654,39.027069,,,-1,21.181215077099587
9.1,259.0,0.52,1.0,1999-2023,2004 LR31,2460200.5,66.28118,99.53236,164.5301,16.75369,0.2801133,0.01069946,20.3967698,2454005.64982,92.1174891,14.6833633,26.1101763,,,centaur,21.36416864155447
9.6,97.0,0.14,0.0,2010-2020,2014 NX65,2460200.5,34.36489,232.18169,96.51598,11.37311,0.2011318,0.00888392,23.0887154,2456332.27884,110.9429362,18.4448405,27.7325903,,,centaur,22.54538999730086
8.97,159.0,0.5700000000000001,2.0,2009-2023,2010 NG146,2460200.5,157.61005,222.26968,322.16231,8.38138,0.1194741999999999,0.01098024,20.0475634,2445846.47639,89.7619737,17.652396799999998,22.44273,,,centaur,22.467446058096208
